IDEmbarcacao;Nome da Embarcação;Ano da Construção da Embarcação;Codigo do Tipo de Material do Casco;Tipo de Material do Casco;Codigo do Tipo da Embarcação;Tipo de Embarcação;Codigo do País Atual;Codigo do País de Origem;Boca;Calado;Comprimento;TPB
13415;E - 1001;2004;1;Aço;39;BALSA;BR;BR;12;1,81;60;931,99
13417;E - 1003;2007;1;Aço;39;BALSA;BR;BR;12;2,07;60;1093,71
39752;D. ESTER I;2007;1;Aço;39;BALSA;BR;BR;10;1,68;49,8;651,62
13304;M - 502;2007;1;Aço;39;BALSA;BR;BR;22;3,9;78,2;4851,1
13416;E - 1002;2004;1;Aço;39;BALSA;BR;BR;12;1,87;60;931,99
41314;PAQUERA;1972;1;Aço;39;BALSA;BR;BR;;;24,93;1
39806;TRANSJOMAR III;2010;1;Aço;39;BALSA;BR;BR;4,6;1,25;14,75;33,5
13345;CAMORIM IV;2004;1;Aço;39;BALSA;BR;BR;12,5;1,62;30;384,98
39724;UNIÃO VII;2006;1;Aço;39;BALSA;BR;BR;16,56;3,48;65;2673
13025;PIPES 13;1980;1;Aço;39;BALSA;BR;BR;7,5;0,6;36,7;65
39802;LADY GABRIELA;1998;1;Aço;39;BALSA;BR;BR;18;2,76;75;2762,08
40200;TOMÉ;1980;1;Aço;39;BALSA;BR;BR;10,5;1,71;41,5;524,33
39430;BERTOLINI CLXXIX (179);2009;1;Aço;39;BALSA;BR;BR;12;4,07;62;2566,17
39530;INTER B I;2010;1;Aço;39;BALSA;BR;BR;15;2,52;42;1200
39537;MONTE SINAI IV;2009;1;Aço;39;BALSA;BR;BR;;;77;1
